lemma	def
Ἀμνισός	Amnisus
Ἀμοπάων	a Trojan, son of Polypaemon
Ἀμυδών	a city of the Paeonians
Ἀμυθάων	Amythaon
Ἀμφίαλος	Amphialus
Ἀμφίλοχος	Amphilochus, (adj.) Amphilochian
Ἀμφίμαχος	Amphimachus
Ἀμφίνομος	Amphinomus
Ἀμφίων	Amphion
Ἀμφιάραος	Amphiaraus
Ἀμφιγένεια	Amphigenia
Ἀμφιδάμας	Amphidamas
Ἀμφιθέα	Amphithea
Ἀμφιθόη	Amphithoe
Ἀμφιμέδων	Amphimedon
Ἀμφινόμη	Amphinome
Ἀμφιτρίτη	Amphitrite
Ἀμφιτρύων	Amphitryo
Ἀμφοτερός	pr.n. 
Ἀμύκλαι	Amyclae; type of shoes
Ἀμύντωρ	Amyntor
Ἀναβησίνεως	Anabesineus (Embarker)
Ἀνδραίμων	Andraemon, king of the Aetolians in Calydon
Ἀνδραιμονίδης	son of Andraemon
Ἀνδρομάχη	Andromache
Ἀνεμώρεια	Anemoreia, a town in Phocis
Ἀνθεμίδης	son of Anthemion
Ἀνθεμίων	Anthemion
Ἀνθηδών	Anthedon
Ἀντήνωρ	instead of a man
Ἀντίκλεια	Anticlia
Ἀντίλοχος	Antilochus
Ἀντίμαχος	Antimachus
Ἀντίνοος	Antinous
Ἀντίφονος	a son of Priam
Ἀντηνορίδης	son of Antenor
Ἀντιφάτης	Antiphates
Ἀντιόπη	Antiope
Ἀντρών	a town in Thessaly
Ἀξιός	a river in Macedonia
Ἀπαισός	a town of Mysia
Ἀπισάων	Apisaon
Ἀπόλλων	Apollo
Ἀρέθουσα	Arethusa
Ἀρήνη	a town subject to Nestor
Ἀρήτη	wife of Alcinous, king of the Phaeacians
Ἀρίσβα	Arisba: a town in the Troad; a town on Lesbos
Ἀρίσβας	Arisbas
Ἀρίων	Arion
Ἀραιθυρέη	a town in Argolis
Ἀργεάδης	son of Argeus
Ἀργειφόντης	slayer of Argus
Ἀργυφέη	Argyphea
Ἀργώ	the ship named Argo
Ἀρετάων	a Trojan, slain by Teucer
Ἀρηΐλυκος	father of Prothoenor; a Trojan, slain by Patroclus
Ἀρητιάδης	son of Aretus, Nisus
Ἀριάδνη	Ariadne
Ἀρκάς	Arcadian
Ἀρκαδία	Arcadia
Ἀρκείσιος	Arcisius
Ἀρκεισιάδης	son of Arcisius, Laertes
Ἀρκεσίλαος	Arcesilaus
Ἀρναῖος	Arnaeus (Irus); of Arnae
Ἀρσίνοος	Arsinous
Ἀρτακίη	Artacie
Ἀρχέλοχος	Archelochus
Ἀρχεπτόλεμος	Archeptolemus
Ἀρύβας	Arybas
Ἀσίνη	Asine
Ἀσαῖος	Asaeus
Ἀσιάδης	son of Asius
Ἀσκάλαφος	Ascalaphus
Ἀσκάνιος	Ascanius
Ἀσκανία	Ascania, district in Phrygia; district in Bithynia or Mysia
Ἀσκληπιάδης	son of Asclepius; physician
Ἀσκληπιός	Asclepius
Ἀσπληδών	Aspledon
Ἀσσάρακος	Assaracus
Ἀστέριος	Asterius
Ἀστερίς	Asteris
Ἀστεροπαῖος	Asteropaeus, son of Pelegon
Ἀστυάναξ	Astyanax
Ἀστυόχεια	Astyochia
Ἀστυόχη	Astyoche
Ἀστύαλος	Astyalus
Ἀστύνοος	Astynous
Ἀστύπυλος	Astypylus
Ἀσφαλίων	Asphalion
Ἀσωπός	Asopus
Ἀτρεΐων	son of Atreus
Ἀτρείδης	son of Atreus
Ἀτρεύς	Atreus
Ἀτρυτώνη	the unwearied
Ἀτυμνιάδης	son of Atymnius
Ἀτύμνιος	Atymnius
Ἀφαρεύς	a Greek, son of Calētor
Ἀφείδας	Aphidas
Ἀφροδίτη	Aphrodite
Ἀχέρων	Acheron, river of woe
Ἀχαιΐς	the Achaian land/woman
Ἀχελῷος	Achelous
Ἀχιλλεύς	Achilles
Ἁλίαρτος	 a town in Boeotia
Ἁλίη	a Nereid
Ἁλιζών	a tribe of Trojan allies from Pontus
Ἁρμονίδης	son of a carpenter
Ἁρπαλίων	son of Pylaemenes
Ἄβαντες	Abantes, a tribe on Euboea
Ἄβας	son of the dream-reader Eurydamas
Ἄβληρος	a Trojan
Ἄβυδος	Abydos
Ἄδμητος	Admetus
Ἄδραστος	Adrastus
Ἄθως	mount Athos
Ἄκτωρ	Actor
Ἄλκανδρος	Alcander
Ἄλκηστις	Alcestis
Ἄλος	a town in the domain of Achilles
Ἄλτης	king of the Leleges, father of Laothoe
Ἄμφικλος	a Trojan, slain by Achilles
Ἄμφιος	Amphius
Ἄνθεια	epith. of Hera
Ἄντεια	wife of Proetus
Ἄντιφος	Antiphus
Ἄργισσα	a town in Thessaly
Ἄργος	Argos
Ἄρης	Ares
Ἄρητος	Aretus
Ἄρτεμις	Artemis
Ἄτλας	Atlas
Ἅρπυιαι	the snatchers
ἔρις	strife, quarrel, debate, contention
ἕκατος	far-shooting
Ἐλευσίς	Eleusis, an old city of Attica
Ἐλεφήνωρ	Elephenor
Ἐλπήνωρ	Elpenor
Ἐννοσίγαιος	the Earth-shaker
Ἐνοσίχθων	Earth-shaker
Ἐνυάλιος	the Warlike
Ἐνυώ	Enyo
Ἐπίδαυρος	Epidaurus
Ἐρέτρια	Eretria
Ἐρεχθεύς	the render
Ἐρινύς	the Erinys
Ἐριχθόνιος	Erichthonius
Ἐτεόκρητες	true Cretans, of the old stock
Ἐφύρα	Ephyra
Ἐχῖναι	the islands in the Ionian sea
Ἑκάβη	Hecabe
Ἑκάτη	Hecate, the far-darter
Ἑλένη	Helen
Ἑλικών	Helicon
Ἑλλάς	Hellas
Ἑλλήσποντος	the Hellespont
Ἑρμιόνη	pr.n.
Ἑρμῆς	Hermes
Ἑστία	Vesta
Ἔρεβος	Erebos
Ἕκτωρ	Hector
Ἕλλην	Hellen; Greek
ἥλιος	the sun
Ἠλέκτρα	Electra
Ἠλώνη	Elone
Ἠμαθίη	Emathia
Ἠνιοπεύς	Eniopeus
Ἠνοπίδης	son of Enops
Ἠπυτίδης	son of Epytus
Ἠχώ	Echo
Ἠϊονεύς	Eioneus
Ἠϊόνες	Eiones, name of a port
Ἡρακλέης	Heracles
Ἡρακλείδης	son of Heracles
Ἥβη	Hebe
Ἥρα	Hera
Ἥφαιστος	Hephaestus, god of fire
Ἦλις	Elis
Ἦνοψ	Enops
ἰωκή	rout, pursuit
ἱππημολγοί	the mare-milkers
Ἰάονες	the Ionians
Ἰηπαιήων	epithet of Apollo; hymn to Apollo
Ἰθάκη	Ithaca
Ἰνωπός	warden of the I.
Ἰνώ	Ino
Ἰοκάστη	Iocasta
Ἱππασίδης	son of Hippasus
Ἱπποδάμας	Hippodamas
Ἱπποδάμεια	Hippodamia
Ἱπποκόων	Hippocoon
Ἱπποτάδης	Hippotades
Ἱπποτίων	Hippotion
Ἱππόδαμος	Hippodamus
Ἱππόθοος	Hippothous
Ἱππόλοχος	Hippolochus
Ἱππόμαχος	Hippomachus
Ἱππόνοος	Hipponous
Ἱρή	Ire, town in Messenia
Ἱστίαια	Histiaea
Ἴαιρα	Iaera
Ἴασος	Iasus
Ἴδας	Idas
Ἴδη	Ida
Ἴθακος	Ithacus, of Ithaca
Ἴκαρος	Icarus
Ἴλιος	Ilian, Trojan
Ἴμβριος	Imbrian, of Imbrus
Ἴμβρος	the Imbrians
Ἴσανδρος	Isander
Ἴσμαρος	Ismarus
Ἴσχυς	Ischys
Ἴτυλος	Itylus
Ἴτων	a town in Thessaly
Ἴφικλος	Iphiclus
Ἴφιτος	Iphitus
Ἵππασος	Hippasus
Ἶλος	Ilus
Ἶρις	Iris, messenger to the gods
Ἶρος	an Irus
Ἶσος	Isus
Ἶφις	Iphis
Ὀγχηστός	Onchestus
Ὀδυσσεύς	Odysseus
Ὀλυμπιάς	Olympic (Muse)/games/victory; Olympiad (four years)
Ὀρέστης	Orestes
Ὀρτυγία	quail-island
Ὀρχομενός	Orchomenus
Ὀτρυντεΐδης	pr. n., son of Otrynteus
Ὀτρυντεύς	Otrynteus
Ὀφέλτιος	Opheltius
Ὀφελέστης	pr.n., Ophelestes
Ὀϊλεύς	Oileus
Ὀϊλιάδης	son of Oileus
Ὄλυμπος	Olympus
Ὄσσα	Ossa, a mountain in Thessaly
ὕπνος	sleep, slumber
Ὑπερβόρεοι	Hyperboreans; as adj.: more than mortal fortune
Ὑπερησίη	Hyperesia , Homeric name of Aegira
Ὠγυγία	Ogygia
Ὠκεανός	Oceanus
Ὠκυρόη	an Oceanid
Ὠρίων	Orion
Ὤλενος	Olenos
Ὧραι	the Hours, keepers of heaven's cloudgate
ᾍδης	Hades
Ῥέα	Rhea
Ῥαδάμανθυς	pr.n. Rhadamanthys
Ῥηξήνωρ	Rhexenor
Ῥοδίος	Rhodian
Ῥοδόπη	Rhodope
Ῥόδεια	Rhodea
Ῥόδος	Rhodes
Ῥύτιον	Rhytium
Ῥῆσος	Rhesus
