lemma	def
Εὐρώπη	Europa, Europe
Εὐφήτης	Euphetes
Εὐχήνωρ	Euchenor
Εὔβοια	Euboea
Εὔδωρος	Eudorus
Εὔιππος	Evippus
Εὔμαιος	Eumaeus
Εὔμηλος	Eumelus
Εὔμολπος	Eumolpus
Εὔνηος	Euneus
Εὔριπος	a place where the flux and reflux is strong
Εὔρυτος	Eurytus
Εὔτρησις	Eutresis, village in Boeotia
Εὔφημος	Euphemus
Εὔφορβος	Euphorbus
Εὖρος	the East wind
Ζάκυνθος	Zacynthus
Ζέλεια	Zelea
Ζέφυρος	Zephyrus, the west wind
Ζεφυρίη	Zephyrus, the west wind
Ζεύς	Zeus
Ζῆθος	Zethus
Θάλεια	Thalia
Θάλπιος	Thalpius
Θάμυρις	Thamuris
Θέσπεια	Thespia
Θέστωρ	Thestor
Θέτις	Thetis
Θίσβη	Thisbe
Θαλυσιάδης	Thalysiades
Θαυμακίη	Thaumacia
Θεανώ	Theano
Θεοκλύμενος	Theoclymenus
Θερσίλοχος	Thersilochus
Θερσίτης	Thersites
Θεσπρωτός	Thesprotian; name of a tribe around Dodona
Θεσσαλός	Thessalian
Θεστορίδης	son of Thestor
Θησεύς	Theseus
Θοώτης	Thootes
Θρασίος	Thrasius
Θρασυμήδης	Thrasymedes
Θρασύμηλος	Thrasymelus
Θρινακία	Thrinacia
Θρυόεσσα	Thryoessa, Thryum, a town in Elis
Θρόνιον	Thronium, town in Locris
Θρύον	Thryum, a town in Elis
Θρᾴκη	Thrace
Θρᾷξ	a Thracian;
Θυέστης	Thyestes
Θυεστιάδης	Thyestiades
Θυμβραῖος	Thymbraeus, a Trojan
Θυμοίτης	Thymoetes
Θυώνη	epithet of Semele
Θόας	Thoas
Θόη	Thoe
Θόων	Thoon
Θόωσα	a nymph, daughter of Phorcys, mother of Polyphemus
Θύμβρη	Thymbra
Θών	Thon
Θῆβαι	Thebes (usu. plural)
Κάδμος	Cadmus
Κάλχας	Calchas
Κάμειρος	Camirus
Κάπυς	Capys
Κάρ	a Carian
Κάρησος	Caresus
Κάρπαθος	Carpathus
Κάρυστος	Carystus
Κάσος	Casus
Κάστωρ	Castor
Κένταυρος	a Centaur
Κήναιον	Cenaeum, promontory in NW Euboea
Κήρ	the goddess of death, death
Κήρινθος	Cerinthus
Κήτειοι	Cetei, a people of Mysia
Κίκονες	Ciconians
Κίλιξ	a Cilician
Κίλλα	Cilla
Κίρκη	Circe
Κακοΐλιος	unhappy Ilios
Καλλίχορον	Callichorum
Καλλιδίκη	Callidice
Καλλιθόη	Callithoe
Καλλικολώνη	Callicolone
Καλλιρρόη	Callirrhoe
Καλλιόπη	Calliope, the beautiful-voiced
Καλυψώ	Calypso
Καπανεύς	Capaneus
Καπανηϊάδης	son of Capaneus, Sthenelus
Καρδαμύλη	Cardamyle
Κασσάνδρα	Cassandra
Καστιάνειρα	Castianira
Καύκωνες	Cauconians
Κεβριόνης	Cebriones
Κελάδων	Celadon
Κελεός	Celeus
Κεφαλλήν	Cephallenian
Κηφισίς	lake in Boeotia, later Copais
Κηφισός	the Cephisus
Κινύρης	Cinyras
Κισσηΐς	daughter of Cisses, Theano
Κισσῆς	Cisses
Κλάρος	Clarus
Κλεισιδίκη	Clisidice
Κλεοπάτρα	Cleopatra
Κλεωναί	Cleonae
Κλεόβουλος	Cleobulus
Κλεῖτος	Clitus
Κλονίος	Clonius
Κλυμένη	Clymene
Κλυτίδης	Clytides
Κλυτίος	Clytius
Κλυταιμνήστρα	Clytaemnestra
Κλυτομήδης	Clytomedes
Κλυτόνηος	Clytoneus
Κλύμενος	Clymenus
Κλῶθες	the spinners
Κνίδος	Cnidos
Κνωσσός	Cnossus
Κοίρανος	Coeranus
Κοπρεύς	Copreus
Κορωνίς	Coronis daughter of Phlegyas
Κορώνεια	Coronea, town near lake Copais
Κουρῆτες	the Curetes, a tribe in Aetolia
Κοῖος	Coeus, a Titan
Κράταιις	Mighty one, name of the mother of Scylla
Κρήθων	Crethon
Κρής	a Cretan
Κρήτη	Crete
Κραναή	Cranae
Κρείων	Creon
Κρειοντιάδης	son of Creon
Κρηθεύς	Cretheus
Κροκύλεια	Crocyleia
Κρονίδης	son of Cronus
Κρονίων	son of Cronus
Κρουνοί	Cruni (Springs), a place in Elis
Κροῖσμος	Croesmus
Κρόνος	Cronus
Κρῖσα	Crisa
Κρῶμνα	Cromna
Κτέατος	Cteatus
Κτήσιππος	Ctesippus
Κτιμένη	Ctimene
Κυθέρεια	Cythereia
Κυλλήνη	Cyllene, a mountain in Arcadia
Κυμοδόκη	Cymodoce
Κυμοθόη	Cymothoe
Κυπάρισσος	Cyparissus
Κυπαρισσήεις	Cyparisseis
Κωκυτός	Cocytus
Κόραξ	Corax
Κόρινθος	Corinth, (masc) Korinthos son of Zeus, founder of Corinth
Κόρωνος	Coronus
Κόων	Coön
Κύδωνες	Cydonians
Κύθηρα	Cerigo
Κύκλωψ	a Cyclops
Κύνθος	Cynthus
Κύπρις	Cypris
Κύπρος	Cyprus
Κύτωρος	Cytorus
Κύφος	pr.n.
Κώρυκος	a promontory of Cilicia
Κῦνος	Cynus
Κῶς	Cos
Λάας	Las
Λάμος	Lamos, king of the Laestrygonians
Λάμπος	bright
Λάρισα	Larissa
Λέκτος	Lectus
Λέλεγες	the Leleges
Λέσβος	Lesbos
Λήδα	Leda
Λήλαντον	the Lelantine plain
Λήϊτος	Leitus
Λίλαια	Lilaea
Λίνδος	from Lindos
Λαέρκης	Laerces
Λαέρτης	Laertes
Λαερτιάδης	son of Laertes (Odysseus)
Λαιστρυγών	Laestrygon
Λακεδαίμων	Lacedaemon
Λαμπετίδης	son of Lampus, Dolops
Λαμπετίη	Lampetia, a nymph, daughter of Helius
Λαοδάμας	Laodamas
Λαοδάμεια	Laodamia
Λαοδίκη	Laodice
Λαοθόη	Laothoe
Λαομέδων	Laomedon
Λαομεδοντιάδης	descendant of Laomedon; Priam, Lampus
Λαπίθαι	Lapiths, tribe in Thessaly
Λαόγονος	Laogonus
Λαόδοκος	Laodocus
Λειώδης	Liodes
Λειώκριτος	Liocritus
Λεκτόν	Lectum
Λεοντεύς	Leonteus, a Lapith
Λεσβίς	a Lesbian woman
Λευκάς	Leucas
Λευκίππη	Leucippe
Λευκοθέα	the white goddess
Λεύκιππος	Leucippus
